Code,Description,Units,total
,A) APP APPLIANCES,,
APPAPPAT,Appliance test - Minimum charge,EA,£34.72
APPCDF,Cooker - Freestanding - Dual fuel - Labour only,EA,£56.09
APPCDRF,Cooker - Freestanding - Dual fuel - Remove & refit,EA,£25.77
APPCF,Cooker - Freestanding - Electric - Labour only,EA,£21.41
APPCGF,Cooker - Freestanding - Gas - Labour only,EA,£25.57
APPCGRF,Cooker - Freestanding - Gas - Remove & refit,EA,£13.68
APPCH,Cooker hood - Duct ventilated w/labour,EA,£162.21
APPCH-,Cooker hood - Duct ventilated w/labour - Standard grade,EA,£151.18
APPCH+,Cooker hood - Duct ventilated w/labour - High grade,EA,£295.24
APPCHF,Cooker hood - Duct ventilated - Labour only,EA,£42.61
APPCHRF,Cooker hood - Duct ventilated - Remove & refit,EA,£36.23
APPCHSCF,Cooker hood - Self circulating - Labour only,EA,£44.51
APPCHSCRF,Cooker hood - Self circulating - Remove & refit,EA,£27.59
APPCRF,Cooker - Freestanding - Electric - Remove & refit,EA,£13.79
APPDW,Dishwasher - Integrated w/labour,EA,£285.40
APPDW-,Dishwasher - Integrated w/labour - Standard grade,EA,£240.02
APPDW+,Dishwasher - Integrated w/labour - High grade,EA,£450.60
APPDWF,Dishwasher - Integrated - Labour only,EA,£54.07
APPDWFSF,Dishwasher - Freestanding - Labour only,EA,£24.49
APPDWFSRF,Dishwasher - Freestanding - Remove & refit,EA,£28.22
APPDWRF,Dishwasher - Integrated - Remove & refit,EA,£28.22
APPFRFRF,Fridge/Freezer - Freestanding - Remove & refit,EA,£12.99
APPFRIRF,Fridge/Freezer - Integrated - Remove & refit,EA,£21.65
APPFRPRF,Fridge/Freezer - Plumbed - Remove & refit,EA,£14.50
APPFWBS,Wood burning stove - 2kw to 5kw - Material only,EA,£860.83
APPH,Hob - Electric w/labour,EA,£298.72
APPH-,Hob - Electric w/labour - Standard grade,EA,£177.86
APPH+,Hob - Electric w/labour - High grade,EA,£487.58
APPHF,Hob - Electric - Labour only,EA,£49.03
APPHG,Hob - Gas w/labour,EA,£330.96
APPHG-,Hob - Gas w/labour - Standard grade,EA,£168.94
APPHG+,Hob - Gas w/labour - High grade ,EA,£491.16
APPHGF,Hob - Gas - Labour only,EA,£48.55
APPHGRF,Hob - Gas - Remove & refit,EA,£60.71
APPHRF,Hob - Electric - Remove & refit,EA,£53.50
APPLABELE,Appliances - Electrician - Per hour,EA,£37.18
APPLABGAS,Appliances - Gas Safe Engineer - Per hour,HR,£36.87
APPLABL,Appliances - General Labourer - Per hour,HR,£24.24
APPLABPLM,Appliances - Plumber - Per hour,HR,£34.77
APPMW,Microwave oven - Integrated w/labour,EA,£286.49
APPMW-,Microwave oven - Integrated w/labour - Standard grade,EA,£132.17
APPMW+,Microwave oven - Integrated w/labour - High grade,EA,£543.84
APPMWF,Microwave oven - Integrated - Labour only,EA,£23.24
APPMWRF,Microwave oven - Integrated - Remove & refit,EA,£22.43
APPOIE,Oven - Integrated - Electric w/labour,EA,£455.83
APPOIE-,Oven - Integrated - Electric w/labour - Standard grade,EA,£237.57
APPOIE+,Oven - Integrated - Electric w/labour - High grade,EA,£760.93
APPOIEF,Oven - Integrated - Electric - Labour only,EA,£37.91
APPOIERF,Oven - Electric - Remove & refit,EA,£35.36
APPOIG,Oven - Integrated - Gas w/labour,EA,£596.99
APPOIG-,Oven - Integrated - Gas w/labour - Standard grade,EA,£353.11
APPOIG+,Oven - Integrated - Gas w/labour - High grade,EA,£616.32
APPOIGF,Oven - Integrated - Gas - Labour only,EA,£42.68
APPOIGRF,Oven - Gas - Remove & refit,EA,£41.91
APPPC,PC sum - Appliance(s),EA,£0.00
APPRANCDF,Range - Dual fuel - Labour only,EA,£53.63
APPRANCDRF,Range - Dual fuel - Remove & refit,EA,£57.71
APPRANCEF,Range - Electric - Labour only,EA,£39.91
APPRANCERF,Range - Electric - Remove & refit,EA,£35.36
APPRANCGF,Range - Gas - Labour only,EA,£53.97
APPRANCGRF,Range - Gas - Remove & refit,EA,£52.19
APPRFWLRF,Refrig. water line - Disconnect & reconnect - With repairs,EA,£29.29
APPTDIRF,Tumble dryer - Integrated - Remove & refit,EA,£16.87
APPTDRF,Tumble dryer - Freestanding - Remove & refit,EA,£8.43
APPWL,Appliance water line - 6mm,LM,£13.53
APPWMF,Washing machine - Freestanding - Labour only,EA,£50.59
APPWMI,Washing machine - Integrated w/labour,EA,£590.81
APPWMI-,Washing machine - Integrated w/labour - Standard grade,EA,£409.85
APPWMI+,Washing machine - Integrated w/labour - High grade,EA,£782.37
APPWMIF,Washing machine - Integrated - Labour only,EA,£64.24
APPWMIRF,Washing machine - Integrated - Remove & refit,EA,£28.22
APPWMRF,Washing machine - Freestanding - Remove & refit,EA,£20.16
APPWRDRF,Warming drawer - Labour only,EA,£65.18
APPWRDRRF,Warming drawer - Labour only,EA,£36.23
,B) CAP CONT: CLEAN APPLIANCES,,
CAPBLND,Clean blender,EA,£4.30
CAPBLND-,Clean blender - Light clean,EA,£2.70
CAPBLND+,Clean blender - Heavy clean,EA,£5.86
CAPCF,Clean coffee pot - Electric,EA,£3.33
CAPCF-,Clean coffee pot - Electric - Light clean,EA,£1.67
CAPCF+,Clean coffee pot - Electric - Heavy clean,EA,£4.91
CAPCFMKR,Clean coffee maker,EA,£5.86
CAPCFMKR-,Clean coffee maker - Light clean,EA,£4.02
CAPCFMKR+,Clean coffee maker - Heavy clean,EA,£7.52
CAPCNOP,Clean can opener - Electric,EA,£3.09
CAPCNOP-,Clean can opener - Electric - Light clean,EA,£1.67
CAPCNOP+,Clean can opener - Electric - Heavy clean,EA,£4.91
CAPDRY,Clean dryer - Interior and external,EA,£9.42
CAPDRY-,Clean dryer - Interior and external - Light clean,EA,£8.04
CAPDRY+,Clean dryer - Interior and external - Heavy clean,EA,£13.83
CAPDRYX,Clean dryer - External,EA,£5.14
CAPDRYX-,Clean dryer - External - Light clean,EA,£3.36
CARPDRYX+,Clean dryer - External - Heavy clean,EA,£8.32
CAPDRYXM,Corrosion mitigation of dryer - External,EA,£3.36
CAPDWP,Clean dishwasher - Portable - Interior and external,EA,£15.34
CAPDWP-,Clean dishwasher - Portable - Int. & ext. - Light clean,EA,£11.82
CAPDWP+,Clean dishwasher - Portable - Int. & ext. - Heavy clean,EA,£23.62
CAPDWPX,Clean dishwasher - Portable - External,EA,£9.63
CAPDWPX-,Clean dishwasher - Portable - External - Light clean,EA,£6.45
CAPDWPX+,Clean dishwasher - Portable - External - Heavy clean,EA,£12.16
CAPFAN,Clean electric fan - Portable,EA,£15.79
CAPFAN-,Clean electric fan - Portable - Light clean,EA,£12.17
CAPFAN+,Clean electric fan - Portable - Heavy clean,EA,£19.49
CAPFDP,Clean food processor,EA,£7.78
CAPFDP-,Clean food processor - Light clean,EA,£6.38
CAPFDP+,Clean food processor - Heavy clean,EA,£12.32
